1,1953412.677812,2908380.735064,20.646,1
2,1953412.677812,2908380.735064,20.646,2
3,1953412.677812,2908380.735064,20.646,3
4,1953412.677812,2908380.735064,20.646,4
8,1953412.677812,2908380.735064,20.646,5
9,1953412.677812,2908380.735064,20.646,6
10,1953412.677812,2908380.735064,20.646,7
11,1953412.677812,2908380.735064,20.646,8
12,1953412.677812,2908380.735064,20.646,9
13,1953412.677812,2908380.735064,20.646,10
14,1953412.677812,2908380.735064,20.646,11
1,1953412.677812,2908380.735064,20.646,12
2,1953412.677812,2908380.735064,20.646,13
3,1953412.677812,2908380.735064,20.646,14
4,1953412.677812,2908380.735064,20.646,15
8,1953412.677812,2908380.735064,20.646,16
9,1953412.677812,2908380.735064,20.646,17
10,1953412.677812,2908380.735064,20.646,18
11,1953412.677812,2908380.735064,20.646,19
12,1953412.677812,2908380.735064,20.646,20
13,1953412.677812,2908380.735064,20.646,21
14,1953412.677812,2908380.735064,20.646,22
